Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
147,"Wednesday, Sep 15",preview,CHC,@,PHI,7:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
148,"Thursday, Sep 16",preview,CHC,@,PHI,6:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
149,"Friday, Sep 17",preview,CHC,@,MIL,8:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
150,"Saturday, Sep 18",preview,CHC,@,MIL,7:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
151,"Sunday, Sep 19",preview,CHC,@,MIL,2:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
152,"Tuesday, Sep 21",preview,CHC,,MIN,7:40 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
153,"Wednesday, Sep 22",preview,CHC,,MIN,7:40 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
154,"Friday, Sep 24",preview,CHC,,STL,2:20 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
155,"Saturday, Sep 25",preview,CHC,,STL,2:20 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
156,"Sunday, Sep 26",preview,CHC,,STL,2:20 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
157,"Tuesday, Sep 28",preview,CHC,@,PIT,6:35 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
158,"Wednesday, Sep 29",preview,CHC,@,PIT,6:35 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
159,"Thursday, Sep 30",preview,CHC,@,PIT,6:35 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
160,"Friday, Oct 1",preview,CHC,@,STL,8:15 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
161,"Saturday, Oct 2",preview,CHC,@,STL,7:15 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
162,"Sunday, Oct 3",preview,CHC,@,STL,3:15 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
