away_team,away_score,home_team,home_score
Chicago Cubs,9,Pittsburgh Pirates,0
Washington Nationals,6,Philadelphia Phillies,7
Kansas City Royals,3,Tampa Bay Rays,1
Boston Red Sox,10,Toronto Blue Jays,2
Arizona Diamondbacks,3,New York Mets,8
Milwaukee Brewers,7,Chicago White Sox,2
Athletics,2,Texas Rangers,15
Detroit Tigers,4,Houston Astros,6
Atlanta Braves,8,Colorado Rockies,2
Los Angeles Angels,3,Seattle Mariners,5
San Francisco Giants,4,San Diego Padres,7
Miami Marlins,2,Los Angeles Dodgers,15
St. Louis Cardinals,NA,Cincinnati Reds,NA
St. Louis Cardinals,6,Cincinnati Reds,0
St. Louis Cardinals,9,Cincinnati Reds,1
Detroit Tigers,7,Houston Astros,4
Atlanta Braves,1,Colorado Rockies,2
Miami Marlins,7,Los Angeles Dodgers,12
Los Angeles Angels,3,Seattle Mariners,9
San Francisco Giants,3,San Diego Padres,5
Minnesota Twins,2,Cleveland Guardians,4
New York Yankees,4,Baltimore Orioles,5
Chicago Cubs,3,Pittsburgh Pirates,4
Washington Nationals,2,Philadelphia Phillies,7
Kansas City Royals,3,Tampa Bay Rays,0
Boston Red Sox,6,Toronto Blue Jays,7
Arizona Diamondbacks,4,New York Mets,3
Milwaukee Brewers,6,Chicago White Sox,4
Athletics,7,Texas Rangers,1
Chicago Cubs,8,Pittsburgh Pirates,3
St. Louis Cardinals,1,Cincinnati Reds,9
Arizona Diamondbacks,4,New York Mets,2
Kansas City Royals,8,Tampa Bay Rays,2
Minnesota Twins,3,Cleveland Guardians,4
Milwaukee Brewers,0,Chicago White Sox,8
Athletics,3,Texas Rangers,0
Washington Nationals,4,Philadelphia Phillies,2
Boston Red Sox,2,Toronto Blue Jays,4
Detroit Tigers,10,Los Angeles Angels,4
Colorado Rockies,4,San Francisco Giants,3
Washington Nationals,1,Cincinnati Reds,6
San Diego Padres,9,Pittsburgh Pirates,4
Arizona Diamondbacks,2,Philadelphia Phillies,3
Kansas City Royals,0,Baltimore Orioles,3
Tampa Bay Rays,0,New York Yankees,3
Cleveland Guardians,3,Toronto Blue Jays,5
Minnesota Twins,1,Boston Red Sox,6
Athletics,6,Miami Marlins,1
Los Angeles Dodgers,2,Atlanta Braves,1
Houston Astros,3,Chicago White Sox,7
